index,sequence,parent_index,interface_score,total_score,catalytic_score,efield_score,interface_potential,total_potential,catalytic_potential,efield_potential,relax_interface_score,relax_total_score,relax_catalytic_score,relax_efield_score,design_interface_score,design_total_score,design_catalytic_score,design_efield_score,generation,mutations,design_method,score_taken_from,blocked_ESMfold,blocked_RosettaRelax,cat_resi,cat_resn,kbt_boltzmann,luca
0,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
1,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
2,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
3,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
4,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
5,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
6,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
7,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
8,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
9,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
10,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
11,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
12,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
13,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
14,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
15,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
16,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
17,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
18,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
19,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
20,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
21,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
22,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
23,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
24,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
25,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
26,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
27,,Parent,,,,,,,,,,,,,,,,,0,,RosettaDesign,,False,False,99,,0.5,1ohp
